name,Tc
Y2Br1.5Cl0.5C2,4.4
Y2Br1.25Cl0.75C2,4.15
Y2Br0.75Cl1.25C2,3.7
Y2Br0.5Cl1.5C2,3.25
Y2Br0.25Cl1.75C2,2.85
Y2Ba4Cu7O15.1,92.8
Y2Ba4Cu7O15.09,89
Y2Ba4Cu7O15.03,87
Y2Ba4Cu7O14.98,88
Y2Ba4Cu7O14.97,93.1
Y2Ba4Cu7O14.95,67
Y2Ba4Cu7O14.92,82
Y2Ba4Cu7O14.85,78
Y2Ba4Cu7O14.81,54.1
Y2Ba4Cu7O14.78,70
Y2Ba4Cu7O14.68,60
Y2Ba4Cu7O14.6,41.2
Y2Ba4Cu7O14.53,60
Y2Ba4Cu7O14.38,50
Y2Ba4Cu7O14.33,22
Y2Ba4Cu7O14.19,13.9
Y2Ba4Cu7O14.16,34
Y2Ba4Cu7O14.13,37
Y2Ba4Cu7O14.04,36
Y2Ba4Cu7O14.03,4.3
Y2Ba4Cu6O13.9,93
Y2Al1Ge3,4.5
Y2.5Dy2.5Os4Ge10,3.8
Y1V2Al20,0.69
Y1Th3.4Ru0.6B4,9.4
Y1Th1C2.7,15.5
Y1Sr2Nb0.9Cu2.1O7.9,27
Y1Sr2Mo0.25Cu2.75O7.54,78
Y1Sr2Cu3O7.5,62.5
Y1Sr2Cu3O7.2,64
Y1Sr2Cu3O6.92,68
Y1Sr2Cu2.8W0.2O7.2,66
Y1Sr2Cu2.8W0.2O6.9,45
Y1Sr2Cu2.8V0.2O6.5,16
Y1Sr2Cu2.8Re2O7,42
Y1Sr2Cu2.8Re0.2O7.2,63
Y1Sr2Cu2.8Re0.2O7,55
Y1Sr2Cu2.8Re0.2O6.9,43
Y1Sr2Cu2.8Mo0.2O7.1,71
Y1Sr2Cu2.8Mo0.2O7,40
Y1Sr2Cu2.85Re0.15O7.1,73
Y1Sr2Cu2.85Re0.15O7,53
Y1Sr2Cu2.85Re0.15O6.95,43.1
Y1Sr2Cu2.7W0.3O6.9,26
Y1Sr2Cu2.7Ti0.3O7.224,35
Y1Sr2Cu2.7Ti0.3O7.152,23
Y1Sr2Cu2.7Ti0.3O7.144,12
Y1Sr2Cu2.7Ti0.3O7,58
Y1Sr2Cu2.7Ti0.3O6.7,26
Y1Sr2Cu2.7Re0.3O7.2,44
Y1Sr2Cu2.7Re0.3O7.1,33
Y1Sr2Cu2.7Fe0.3O7.1,51
Y1Sr2Cu2.7Fe0.3O6.9,43
Y1Sr2Cu2.7Co0.3O6.7,27
Y1Sr2Cu2.7Co0.3O6.5,13
Y1Sr2Cu2.75W0.25O7.1,51
Y1Sr2Cu2.75W0.25O6.9,33
Y1Sr2Cu2.75Re0.25O7.3,49
Y1Sr2Cu2.75Re0.25O7,37
Y1Sr2Cu2.675Ti0.325O7.1,56
Y1Sr2Cu2.675Ti0.325O6.6,21
Y1Sr2Cu2.65Ti0.35O7.1,53
Y1Sr2Cu2.65Ti0.35O6.8,21
Y1Sr2Cu2.65Mo0.35O7.4,43
Y1Sr2Cu2.65Mo0.35O7.2,29
Y1Sr2Cu2.65Ga0.35O6.7,21
Y1Sr2Cu2.65Ga0.35O6.6,17
Y1Sr2Cu2.65Fe0.35O7.1,46
Y1Sr2Cu2.65Fe0.35O6.7,34
Y1Sr1.55Ba0.45Cu2.5B0.5O7,16
Y1Sr1.4Ba0.6Cu2.5B0.5O7,24
Y1Sr1.2Ba0.8Cu2.5B0.5O7,35
Y1Sr0.8Ba1.2Cu2.5B0.5O7,51
Y1Sr0.6Ba1.4Cu2.5B0.5O7,47
Y1Sr0.5Ba1.5Cu2.5B0.5O7,15
Y1Sr0.4Ba1.6Cu2.5B0.5O7,35
Y1Ru4P12,8.5
Y1Ru4B4,1.4
Y1Ru3Si2,3.51
Y1Ru3.5Si2,3.51
Y1Ru2Si2,1.1
Y1Ru1B4,1.38
Y1Ru1B2,7.7
Y1Rh4Si2B1,9
Y1Rh4B4,10.95775
Y1Rh2Sn1,4.1
Y1Rh2Si2,1.4
Y1Rh1Sb1,2.1
Y1Rh1Al1,0.9
Y1Rh1.1Sn3.1,1.3
Y1Re1B1C1,4.7
Y1Re0.1Ba2Cu2.9O7.09,91
Y1Re0.1Ba2Cu2.9O7.08,90
Y1Re0.1Ba2Cu2.9O7,91.5
Y1Re0.15Ba2Cu2.85O7.17,91
Y1Re0.15Ba2Cu2.85O7.13,90
Y1Re0.15Ba2Cu2.85O7.07,91.5
Y1Re0.05Ba2Cu2.95O7.04,92
Y1Re0.05Ba2Cu2.95O7.02,92
Y1Re0.05Ba2Cu2.95O6.94,88
Y1Pt2Si2,1.57
Y1Pt2B2C1,10.5
Y1Pt1Bi1,0.906666667
Y1Pt1.5Au0.6B2.4C1.2,5.8
Y1Pt0.5Ge1.5,3.3
Y1Pd4B1C0.2,21
Y1Pd4.2B3C0.3,24
Y1Pd3B3C0.3,22
Y1Pd2Sn1,4.993333333
Y1Pd2Si2,0.785
Y1Pd2Pb1,4.13
Y1Pd2P2,0.96
Y1Pd2B2C1,22.6
Y1Pd2Al3,2.2
Y1Os4P12,3
Y1Os3B2,6
Y1Os2Si2,1.1
Y1Os1Re1,2
Y1Os1B4,1.4
Y1Os1B2,2.22
Y1Ni2Pd,16.3
Y1Ni2B2C1,14.17727273
Y1Ni1Pd1B2C1,11.8
Y1Ni1Ge3,0.46
Y1Ni1Cu1B2C1,10.1
Y1Ni1.9Ru0.1B2C1,7
Y1Ni1.9Pt0.1B2C1,13.7
Y1Ni1.9Mn0.1B2C1,12.7
Y1Ni1.9Fe0.1B2C1,8.2
Y1Ni1.9Cu0.1B2C1,13.75
Y1Ni1.9Co0.1B2C1,9.65
Y1Ni1.98Ru0.02B2C1,12.8
Y1Ni1.98Mn0.02B2C1,15.48
Y1Ni1.98Fe0.02B2C1,13.4
Y1Ni1.98Co0.02B2C1,14.3
Y1Ni1.985Cu0.015B2C1,14.3
Y1Ni1.95Cu0.05B2C1,14.7
Y1Ni1.94Ru0.06B2C1,8.7
Y1Ni1.94Fe0.06B2C1,10.2
Y1Ni1.94Co0.06B2C1,11.8
Y1Ni1.8Pd0.2B2C1,14
Y1Ni1.8Mn0.2B2C1,8.7
Y1Ni1.8Cu0.2B2C1,11.55
Y1Ni1.8Co0.2B2C1,6.75
Y1Ni1.86Fe0.14B2C1,6.2
Y1Ni1.86Co0.14B2C1,8.13
Y1Ni1.85Cu0.15B2C1,13
Y1Ni1.82Pd0.18B2C1,11.8
Y1Ni1.7Pd0.3B2C1,10.7
Y1Ni1.7Mn0.3B2C1,5.7
Y1Ni1.7Cu0.3B2C1,10.85
Y1Ni1.6Pt0.4B2C1,12.1
Y1Ni1.6Cu0.4B2C1,10.6
Y1Ni1.5Pd0.5B2C1,12.1
Y1Ni1.54Pd0.46B2C1,10.3
Y1Ni1.4Pd0.6B2C1,9.92
Y1Ni1.4Cu0.6B2C1,10.45
Y1Ni1.46Pd0.54B2C1,10.1
Y1Ni1.3Pd0.7B2C1,12.1
Y1Ni1.34Pd0.66B2C1,10.4
Y1Ni1.24Pd0.76B2C1,10.4
Y1Ni0.8Pd1.2B2C1,11.8
Y1Ni0.82Bi2,4.1
Y1Mo6Se8,6.38
Y1Mo6S7,2.66
Y1La2Ba3Cu6O14.53,25.6
Y1La1Ba4Cu6O13.95,72.2
Y1La1.8Ba3.2Cu6O14.49,41.9
Y1La1.6Ba3.4Cu6O14.38,53.1
Y1La1.4Ba3.6Cu6O14.2,64
Y1La1.2Ba3.8Cu6O14.07,70.4
Y1La0.3Ba1.7Cu4O8,52.6
Y1La0.3Ba1.7Cu3O7,57.45
Y1La0.2Ba1.8Cu3O7.79,90.4
Y1La0.2Ba1.8Cu3O7.77,89.8
Y1La0.2Ba1.8Cu3O7.74,89.1
Y1La0.2Ba1.8Cu3O7.64,88.1
Y1La0.2Ba1.8Cu3O7.62,87.9
Y1La0.2Ba1.8Cu3O7.57,89.6
Y1La0.2Ba1.8Cu3O7.49,90.4
Y1La0.2Ba1.8Cu3O7.46,89.8
Y1La0.2Ba1.8Cu3O7.36,89.1
Y1La0.2Ba1.8Cu3O7.26,67.6
Y1La0.2Ba1.8Cu3O7.16,61.7
Y1La0.2Ba1.8Cu3O7.06,48.9
Y1Ir2Si2,1.949166667
Y1Ir2Rh2B4,8.92
Y1Ir1Si1,2.7
Y1Ir1Os1,2.6
Y1Ir1.5Os0.5,2.4
Y1In3,0.96
Y1In2.25Sn0.75,0.69
Y1In2.25Pb0.75,0.6
Y1In1.71Sn1.29,1.49
Y1In1.5Pb1.5,1
Y1In0.75Pb2.25,1.94
Y1Fe4P12,7
Y1Fe2Si2,2.9
Y1Fe2Ge2,0.99
Y1Fe1As1O0.85,45.2
Y1Cu2B2C1,10
Y1Cu2.99Zn0.01O7,86.6
Y1Cu2.98Zn0.02O7,84.5
Y1Cu2.97Zn0.03O7,81.5
Y1CaBa2Cu3NiO6.89,91
Y1Ca1Ba4Cu5N0.3C0.7O14,82
Y1Ba2La1.94Cu3O6.963,91.8
Y1Ba2Cu4O8.045,81.4
Y1Ba2Cu4O8.043,80
Y1Ba2Cu4O7.986,79.6
Y1Ba2Cu4O7.96,86
Y1Ba2Cu4O7.95,82
Y1Ba2Cu4O7.9,78.3
Y1Ba2Cu4O7.8,77.5
Y1Ba2Cu4O6.998,90.5
Y1Ba2Cu4Li0.25O8,58
Y1Ba2Cu4Li0.125O8,58
Y1Ba2Cu4Li0.062O8,64
Y1Ba2Cu4Li0.031O8,72
Y1Ba2Cu4Li0.016O8,77
Y1Ba2Cu3S1O6,89.5
Y1Ba2Cu3S0.12O7.28,89
Y1Ba2Cu3S0.06O7.23,89
Y1Ba2Cu3S0.03O7.12,90
Y1Ba2Cu3O7.19,89
Y1Ba2Cu3O7.1,91.65
Y1Ba2Cu3O7.01,89.5
Y1Ba2Cu3O6050,22
Y1Ba2Cu3O6.995,89
Y1Ba2Cu3O6.98,89.5125
Y1Ba2Cu3O6.97,90.575
Y1Ba2Cu3O6.965,88.5
Y1Ba2Cu3O6.962,92.15
Y1Ba2Cu3O6.957,91
Y1Ba2Cu3O6.955,91.8
Y1Ba2Cu3O6.951,91.19
Y1Ba2Cu3O6.939,91.8
Y1Ba2Cu3O6.937,84.8
Y1Ba2Cu3O6.93,91.7375
Y1Ba2Cu3O6.906,92.4
Y1Ba2Cu3O6.894,80.5
Y1Ba2Cu3O6.887,89.8
Y1Ba2Cu3O6.883,74
Y1Ba2Cu3O6.88,89.025
Y1Ba2Cu3O6.876,78.1
Y1Ba2Cu3O6.869,90
Y1Ba2Cu3O6.861,80.5
Y1Ba2Cu3O6.858,87.4
Y1Ba2Cu3O6.852,89.2
Y1Ba2Cu3O6.838,84.8
Y1Ba2Cu3O6.829,57.7
Y1Ba2Cu3O6.828,88
Y1Ba2Cu3O6.821,91.1
Y1Ba2Cu3O6.82,88.65
Y1Ba2Cu3O6.795,82.5
Y1Ba2Cu3O6.791,86.9
Y1Ba2Cu3O6.773,71.2
Y1Ba2Cu3O6.765,75.8
Y1Ba2Cu3O6.729,56.8
Y1Ba2Cu3O6.71,61.96666667
Y1Ba2Cu3O6.702,69
Y1Ba2Cu3O6.666,60.5
Y1Ba2Cu3O6.64,59.53333333
Y1Ba2Cu3O6.61,59.626
Y1Ba2Cu3O6.602,59.4
Y1Ba2Cu3O6.59,60.55
Y1Ba2Cu3O6.57,56.1
Y1Ba2Cu3O6.556,58.95
Y1Ba2Cu3O6.546,59.4
Y1Ba2Cu3O6.516,58.2
Y1Ba2Cu3O6.51,45.4
Y1Ba2Cu3O6.46,45
Y1Ba2Cu3O6.409,26
Y1Ba2Cu3O6.375,19
Y1Ba2Cu3O6.346,12.3
Y1Ba2Cu3O6.29,21.9
Y1Ba2Cu3O4.86,93.2
Y1Ba2Cu3O4,92
Y1Ba2Cu3Li0.5O7,83.79
Y1Ba2Cu3Li0.3O7,86
Y1Ba2Cu3Li0.1O7,88.91
Y1Ba2Cu3Li0.08O7,89.2
Y1Ba2Cu3Li0.02O7,91.18
Y1Ba2Cu3H1O7,93.2
Y1Ba2Cu3H1.4O6.98,92
Y1Ba2Cu3H1.15O6.91,76.7
Y1Ba2Cu3H0.92O6.91,80.8
Y1Ba2Cu3H0.91O6.91,91.4
Y1Ba2Cu3H0.6O6.91,86.5
Y1Ba2Cu3H0.69O6.91,85.7
Y1Ba2Cu3H0.64O6.54,42.05
Y1Ba2Cu3H0.53O6.54,43.8
Y1Ba2Cu3H0.52O6.91,91.7
Y1Ba2Cu3H0.49O7,93.6
Y1Ba2Cu3H0.38O7,93.8
Y1Ba2Cu3H0.34O7,66
Y1Ba2Cu3H0.32O6.91,91.25
Y1Ba2Cu3H0.31O6.54,47.3
Y1Ba2Cu3H0.2O6.98,94.5
Y1Ba2Cu3H0.2O6.795,72.5
Y1Ba2Cu3H0.27O6.91,91.1
Y1Ba2Cu3H0.24O6.765,68
Y1Ba2Cu3H0.21O7,86
Y1Ba2Cu3H0.1O6.795,75
Y1Ba2Cu3H0.1O6.765,73
Y1Ba2Cu3H0.19O7,93.5
Y1Ba2Cu3H0.16O6.54,47.9
Y1Ba2Cu3H0.14O7,92.5
Y1Ba2Cu3H0.14O6.91,90.95
Y1Ba2Cu3H0.13O7,93.5
Y1Ba2Cu3H0.08O7,88
Y1Ba2Cu3H0.06O6.91,92.8
Y1Ba2Cu3F1.65O5.675,90.3
Y1Ba2Cu3F1.46O6,55
Y1Ba2Cu3F1.26O6,55
Y1Ba2Cu3F1.11O6,45
Y1Ba2Cu3F0.825O,90.5
Y1Ba2Cu3F0.76O6,35
Y1Ba2Cu3F0.38O6.7,91
Y1Ba2Cu3F0.2O7,91
Y1Ba2Cu3F0.29O6.7,91
Y1Ba2Cu3F0.25O6.7,91
Y1Ba2Cu3F0.1O7,91
Y1Ba2Cu3F0.1O6.7,71
Y1Ba2Cu3F0.15O6.7,89.5
Y1Ba2Cu3Cl1O6,72
Y1Ba2Cu3Br0.9O6.2,92
Y1Ba2Cu3.9Ni0.1O8,52.6
Y1Ba2Cu3.99Zn0.01O8,73.3
Y1Ba2Cu3.99Ni0.01O8,78.4
Y1Ba2Cu3.996Ni0.004O8,78
Y1Ba2Cu3.98Ni0.02O8,68.8125
Y1Ba2Cu3.98Ga0.02O8,77.75
Y1Ba2Cu3.98Fe0.02O8,70.5
Y1Ba2Cu3.98Co0.02O8,73.3
Y1Ba2Cu3.987Fe0.013O8,70.15
Y1Ba2Cu3.985Zn0.015O7.95,70
Y1Ba2Cu3.97Ni0.03O8,70.4
Y1Ba2Cu3.976Zn0.024O8,63
Y1Ba2Cu3.975Fe0.025O8,64.6
Y1Ba2Cu3.972Zn0.028O8,63
Y1Ba2Cu3.96Zn0.06O8,50.1
Y1Ba2Cu3.96Mn0.04O8,62.8
Y1Ba2Cu3.96Ga0.04O8,77.5
Y1Ba2Cu3.964Ni0.036O8,63
Y1Ba2Cu3.95Zn0.05O8,47.25
Y1Ba2Cu3.956Zn0.044O8,56.8
Y1Ba2Cu3.94Zn0.06O8,39.6
Y1Ba2Cu3.939Ni0.061O8,63.5
Y1Ba2Cu3.938Zn0.062O8,47
Y1Ba2Cu3.92Mn0.08O8,41.6
Y1Ba2Cu3.92Ga0.08O8,74.5
Y1Ba2Cu3.928Zn0.072O8,31
Y1Ba2Cu3.925Zn0.075O8,25
Y1Ba2Cu3.925Fe0.075O8,44.2
Y1Ba2Cu3.924Zn0.076O8,30.1
Y1Ba2Cu3.8Ga0.2O8,70.25
Y1Ba2Cu3.8Fe0.2O8,64
Y1Ba2Cu3.8Co0.2O8,50
Y1Ba2Cu3.88Ga0.12O8,73.5
Y1Ba2Cu3.85O6.85,93
Y1Ba2Cu3.84Zn0.16O8,31.5
Y1Ba2Cu3.84Ga0.16O8,71.25
Y1Ba2Cu3.84Co0.16O8,54.3
Y1Ba2Cu3.7Zn0.3O8,22.5
Y1Ba2Cu2.9Zn0.1O7,51.5
Y1Ba2Cu2.9Zn0.1O6.99,43.5
Y1Ba2Cu2.9Zn0.1O6.94,56.95
Y1Ba2Cu2.9Zn0.1O6.93,23
Y1Ba2Cu2.9Zn0.1O6.88,4.3
Y1Ba2Cu2.9Zn0.1O6.85,50.08
Y1Ba2Cu2.9Zn0.1O6.81,55
Y1Ba2Cu2.9Sn0.1O7.28,90
Y1Ba2Cu2.9Ni0.1O6.95,70
Y1Ba2Cu2.9Ni0.1O6.93,72.5
Y1Ba2Cu2.9Ni0.1O6.92,80.5
Y1Ba2Cu2.9Ni0.1O6.88,69.5
Y1Ba2Cu2.9Ni0.1O6.87,55
Y1Ba2Cu2.9Ni0.1O6.85,54.5
Y1Ba2Cu2.9Ni0.1O6.77,44
Y1Ba2Cu2.9Ni0.1O6.71,29
Y1Ba2Cu2.9Ni0.1O6.61,20.5
Y1Ba2Cu2.9Ni0.1O6.56,4.3
Y1Ba2Cu2.9Ga0.1O6.8,81
Y1Ba2Cu2.9Fe0.1O7.293,87
